Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,284,B,409,A,,,,,28.4,12.5,N,
,284,A,418,A,,,,,28.4,13.4,N,
,284,C,420,A,,,,,28.4,13.6,N,
,284,A,427,B,,,,,28.4,14.3,N,
,285,B,409,B,,,,,28.5,12.4,N,
,285,B,422,A,,,,,28.5,13.7,N,
,286,B,403,A,,,,,28.6,11.7,N,
,286,A,407,A,,,,,28.6,12.1,N,
,286,B,414,B,,,,,28.6,12.8,N,
,286,A,417,B,,,,,28.6,13.1,N,
,287,A,397,B,,,,,28.7,11,N,
,287,A,404,D,,,,,28.7,11.7,N,
,287,C,405,B,,,,,28.7,11.8,N,
,287,C,417,C,,,,,28.7,13,N,
,287,B,457,A,,,,,28.7,17,N,
,287,B,477,A,,,,,28.7,19,N,
,288,C,428,B,,,,,28.8,14,N,
,288,C,435,A,,,,,28.8,14.7,N,
,289,D,403,B,,,,,28.9,11.4,N,
,289,C,411,E,,,,,28.9,12.2,N,
,289,A,414,C,,,,,28.9,12.5,N,
,289,E,414,D,,,,,28.9,12.5,N,
,289,D,417,D,,,,,28.9,12.8,N,
,289,C,418,B,,,,,28.9,12.9,N,
,289,B,427,C,,,,,28.9,13.8,N,
,289,A,434,A,,,,,28.9,14.5,N,
,289,E,435,B,,,,,28.9,14.6,N,
,289,B,437,A,,,,,28.9,14.8,N,
,290,A,406,E,,,,,29,11.6,N,
,290,A,423,A,,,,,29,13.3,N,
,291,B,407,B,,,,,29.1,11.6,N,
,291,B,420,B,,,,,29.1,12.9,N,
,291,A,422,B,,,,,29.1,13.1,N,
,291,A,438,A,,,,,29.1,14.7,N,
,292,A,423,B,,,,,29.2,13.1,N,
,292,A,425,B,,,,,29.2,13.3,N,
,294,B,416,D,,,,,29.4,12.2,N,
,294,B,416,E,,,,,29.4,12.2,N,
,294,A,430,B,,,,,29.4,13.6,N,
,294,A,430,C,,,,,29.4,13.6,N,
,295,B,424,A,,,,,29.5,12.9,N,
,295,B,431,B,,,,,29.5,13.6,N,
,295,A,434,C,,,,,29.5,13.9,N,
,295,A,439,B,,,,,29.5,14.4,N,
,296,A,410,D,,,,,29.6,11.4,N,
,296,A,423,C,,,,,29.6,12.7,N,
,297,B,410,E,,,,,29.7,11.3,N,
,297,B,442,A,,,,,29.7,14.5,N,
,297,C,445,A,,,,,29.7,14.8,N,
,297,A,446,A,,,,,29.7,14.9,N,
,298,D,413,B,,,,,29.8,11.5,N,
,298,B,420,C,,,,,29.8,12.2,N,
,298,B,424,B,,,,,29.8,12.6,N,
,298,A,427,D,,,,,29.8,12.9,N,
,298,A,433,A,,,,,29.8,13.5,N,
,299,A,414,E,,,,,29.9,11.5,N,
,299,C,452,A,,,,,29.9,15.3,N,
,299,C,454,A,,,,,29.9,15.5,N,
,299,A,458,A,,,,,29.9,15.9,N,
,300,A,434,D,,,,,30,13.4,N,
,300,B,438,B,,,,,30,13.8,N,
,300,A,440,A,,,,,30,14,N,
