Parent,ID,Generations,Start,Split,Lifespan,Parent,ID,Valid,Left Frame,Generation,C.Start,C.Split,C.Lifespan,,Notes,Rate,progeny.id,progeny.events,population.time,progeny.mle,,,,,,,,
948,282,3,1464,1602,2.3,948,282,T,0,2,244,381,13.7,,X Corrected; splits at movie's edge in fr381; mislabelled as 2752 and blobmerges with cell '437'; daughters last thru EOM,0.301368339,49,NA,NA,NA,,,,,,,,
,,,,,,282,l57,T,0,,381,549,16.8,,,,49,,,,,,,,,,,
,,,,,,282,r58,T,0,,381,549,16.8,,,,49,,,,,,,,,,,
948,2358,3,1464,2802,22.3,948,2358,T,0,2,244,401,15.7,,"X Corrected; splits in fr401 as cell '1713', this split also missed by tracking; Blobmerged with cell 2590 + mislabelled; daughters last thru EOM",0.031082833,49,NA,NA,NA,,,,,,,,
,,,,,,2358,l64,T,0,,401,549,14.8,,,,49,,,,,,,,,,,
,,,,,,2358,r65,T,0,,401,549,14.8,,,,49,,,,,,,,,,,
282,1250,4,1608,1710,1.7,282,1250,F,0,,268,285,1.7,,X illegitimate,0.407733636,49,NA,NA,NA,,,,,,,,
282,2752,4,1608,1650,0.7,282,2752,F,0,,268,275,0.7,,X illegitimate,0.990210258,49,NA,NA,NA,,,,,,,,
1250,465,5,1716,1896,3,1250,465,F,0,,286,316,3,,X illegitimate,0.23104906,49,NA,NA,NA,,,,,,,,
1250,2470,5,1716,3042,22.1,1250,2470,F,0,,286,507,22.1,,X illegitimate,0.031364126,49,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,51,1,18,108,1.5,0,51,T,0,0,3,18,1.5,,,0.46209812,51,2,69.2,0.028901734,,,,,,,,
51,315,2,114,942,13.8,51,315,T,0,1,19,157,13.8,,valid,0.050228057,51,NA,NA,NA,,,,,,,,
51,2367,2,114,750,10.6,51,2367,T,0,1,19,152,13.3,,X Corrected; splits in fr152 at edge; CANNOT TRACK SIBLING,0.065391243,51,NA,NA,NA,,,,,,,,
,,,,,,2367,l42,T,0,,152,282,13,,,,51,,,,,,,,,,,
,,,,,,l42,l43,T,0,,282,447,16.5,,daughters last thru EOM,,51,,,,,,,,,,,
,,,,,,l43,l76,T,0,,447,549,10.2,,,,51,,,,,,,,,,,
,,,,,,l43,r77,T,0,,447,549,10.2,,,,51,,,,,,,,,,,
,,,,,,l42,r44,T,0,,282,452,17,,daughters last thru EOM,,51,,,,,,,,,,,
,,,,,,r44,l79,T,0,,452,549,9.7,,,,51,,,,,,,,,,,
,,,,,,r44,r80,T,0,,452,549,9.7,,,,51,,,,,,,,,,,
315,695,3,948,2472,25.4,315,695,T,0,2,158,312,15.4,,"X Corrected; splits in fr312; blobmerges with '728', and a daughter becomes '695'",0.027289259,51,NA,NA,NA,,,,,,,,
315,2556,3,948,2022,17.9,315,2556,T,0,2,158,334,17.6,,"X Corrected; splits in fr334; blobmerge with 219, becomes '1253'",0.038723306,51,NA,NA,NA,,,,,,,,
,,,,,,695,l47,T,0,,312,549,23.7,,lasts thru EOM,,51,,,,,,,,,,,
,,,,,,695,r48,T,0,,312,528,21.6,,daughters last thru EOM,,51,,,,,,,,,,,
,,,,,,r48,l85,T,0,,528,549,2.1,,,,51,,,,,,,,,,,
,,,,,,r48,r86,T,0,,528,549,2.1,,,,51,,,,,,,,,,,
,,,,,,2556,lb49,T,0,,334,549,21.5,,lasts thru EOM,,51,,,,,,,,,,,
,,,,,,2556,rt50,T,0,,334,541,20.7,,daughters last thru EOM,,51,,,,,,,,,,,
,,,,,,rt50,l89,T,0,,541,549,0.8,,,,51,,,,,,,,,,,
,,,,,,rt50,r90,T,0,,541,549,0.8,,,,51,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,672,1,18,312,4.9,0,672,T,0,0,3,52,4.9,,,0.141458608,672,3,94.1,0.031880978,,,,,,,,
672,62,2,318,846,8.8,672,62,T,0,1,53,197,14.4,,X Corrected; splits in fr197; blobmerged with 2644,0.078766725,672,NA,NA,NA,,,,,,,,
