Parent,ID,Generations,Start,Split,Lifespan,Parent,ID,Valid,Left Frame,Generation,C.Start,C.Split,C.Lifespan,,Notes,Rate,progeny.id,progeny.events,population.time,progeny.mle,,,,,,,,
,,,,,,1558,r236,T,0,,506,549,4.3,,,,1493,,,,,,,,,,,
1493,2255,2,504,1278,12.9,1493,2255,T,0,1,84,213,12.9,,valid,0.05373234,1493,NA,NA,NA,,,,,,,,
2255,2256,2,1278,3294,33.6,2255,2256,T,0,,213,418,20.5,,X Corrected; actually splits in fr418; daughters last thru EOM,0.02062938,1493,NA,NA,NA,,,,,,,,
,,,,,,2256,l239,T,0,,419,549,13,,,,1493,,,,,,T,0,,0,549,54.9
,,,,,,2256,r240,T,0,,419,549,13,,,,1493,,,,,,T,0,,0,549,54.9
97,1545,3,1038,1536,8.3,-,1545,F,0,,173,256,8.3,,X illegitimate; parental mislabel,0.083511709,1493,NA,NA,NA,,,,,,,,
97,2823,3,1038,1044,0.1,-,2823,F,0,,173,174,0.1,,X illegitimate,6.931471806,1493,NA,NA,NA,,,,,,,,
1545,552,4,1542,2166,10.4,97,552,T,0,,257,474,21.7,,X Corrected; splits in fr474; daughters last thru EOM,0.066648767,1493,NA,NA,NA,,,,,,,,
,,,,,,552,l244,T,0,,475,549,7.4,,,,1493,,,,,,,,,,,
,,,,,,552,r245,T,0,,475,549,7.4,,,,1493,,,,,,,,,,,
1545,2509,4,1542,3294,29.2,97,2509,T,0,,257,549,29.2,,X Persists until EOM,0.023737917,1493,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,1517,1,468,690,3.7,0,1517,T,0,0,78,115,3.7,,,0.187337076,1517,2,64.6,0.030959752,,,,,,,,
1517,103,2,696,972,4.6,1517,103,T,1,,116,162,4.6,,X Left frame,0.15068417,1517,NA,NA,NA,,,,,,,,
2260,1791,2,2514,3294,13,2260,1791,F,0,,419,549,13,,X Illegitimate,0.053319014,1517,NA,NA,NA,,,,,,,,
1517,2260,2,696,2514,30.3,1517,2260,T,0,,116,254,13.8,16.5,X Corrected; actually split in fr254; tracking missed split and assigned parent's 2260 label to daughter; ,0.022876145,1517,NA,NA,NA,,,,,,,,
,,,,,,2260,l252,T,1,,255,,-25.5,,X Left frame,,1517,,,,,,,,,,,
,,,,,,2260,r253,T,0,,255,420,16.5,,,,1517,,,,,,,,,,,
,,,,,,r253,l254,T,0,,421,549,12.8,,,,1517,,,,,,,,,,,
,,,,,,r253,r255,T,0,,421,549,12.8,,,,1517,,,,,,,,,,,
2260,2261,2,2514,3294,13,2260,2261,F,0,,419,549,13,,X Illegitimate,0.053319014,1517,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,114,1,18,468,7.5,0,114,T,0,,3,78,7.5,,,0.092419624,114,5,117.8,0.042444822,,,,,,,,
114,684,2,474,1326,14.2,114,684,T,0,,79,221,14.2,,"valid; left splits fr408, rt ",0.048813182,114,NA,NA,NA,,,,,,,,
2546,710,2,1278,2508,20.5,2546,710,T,0,,213,426,21.3,,"X Corrected; splits in fr426; before split, relabelled as 1118; 1118's split is missed by auto; ",0.033812058,114,NA,NA,NA,,,,,,,,
,,,,,,710,l261,T,0,,427,549,12.2,,,,114,,,,,,,,,,,
,,,,,,710,r262,T,0,,427,549,12.2,,,,114,,,,,,,,,,,
114,2546,2,474,1278,13.4,114,2546,T,0,,79,213,13.4,,valid,0.051727402,114,NA,NA,NA,,,,,,,,
2546,2547,2,1278,1452,2.9,2546,2547,T,1,,213,242,2.9,,X Invalid; leaves frame; relabeled as '389',0.239016269,114,NA,NA,NA,,,,,,,,
684,537,3,1332,2178,14.1,684,537,T,0,,222,363,14.1,,valid,0.049159375,114,NA,NA,NA,,,,,,,,
,,,,,,537,l266,T,0,,364,549,18.5,,,,114,,,,,,,,,,,
,,,,,,537,r267,T,0,,364,549,18.5,,,,114,,,,,,,,,,,
684,2498,3,1332,2508,19.6,684,2498,T,0,,222,408,18.6,,X Corrected,0.035364652,114,NA,NA,NA,,,,,,,,
,,,,,,2498,l269,T,0,,409,549,14,,,,114,,,,,,,,,,,
,,,,,,2498,r270,T,0,,409,549,14,,,,114,,,,,,,,,,,
537,836,4,2184,2550,6.1,537,836,F,0,,364,425,6.1,,X illegitimate,0.113630685,114,NA,NA,NA,,,,,,,,
2613,1708,4,2256,3294,17.3,2613,1708,F,0,,376,549,17.3,,X illegitimate,0.040066311,114,NA,NA,NA,,,,,,,,
537,2613,4,2184,2256,1.2,537,2613,F,0,,364,376,1.2,,X illegitimate,0.57762265,114,NA,NA,NA,,,,,,,,
2613,2614,4,2256,2316,1,2613,2614,F,0,,376,386,1,,X illegitimate,0.693147181,114,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,116,1,18,630,10.2,0,116,T,0,,3,105,10.2,,,0.067955606,116,3,86.5,0.034682081,,,,,,,,
116,512,2,636,1476,14,116,512,T,0,,106,246,14,,valid,0.049510513,116,NA,NA,NA,,,,,,,,
116,2485,2,636,1212,9.6,116,2485,T,1,,106,202,9.6,,X Left frame,0.072202831,116,NA,NA,NA,,,,,,,,
2687,1034,3,2196,2778,9.7,2687,1034,F,0,,366,463,9.7,,X illegitimate,0.071458472,116,NA,NA,NA,,,,,,,,
512,1578,3,1482,3294,30.2,512,1578,T,0,,247,508,26.1,,"x Corrected; splits in fr508; auto misses split, so a daughter retains the '1578' label",0.022951893,116,NA,NA,NA,,,,,,,,
,,,,,,1578,l281,T,0,,509,549,4,,,,116,,,,,,,,,,,
,,,,,,1578,r282,T,0,,509,549,4,,,,116,,,,,,,,,,,
512,2687,3,1482,2196,11.9,512,2687,T,0,,247,507,26,,x Corrected; splits in fr507; auto randomly renamed it as 2688,0.058247662,116,NA,NA,NA,,,,,,,,
,,,,,,2687,l284,T,0,,508,549,4.1,,,,116,,,,,,,,,,,
,,,,,,2687,r285,T,0,,508,549,4.1,,,,116,,,,,,,,,,,
2687,2688,3,2196,2250,0.9,2687,2688,F,0,,366,375,0.9,,X illegitimate,0.770163534,116,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,117,1,18,450,7.2,0,117,T,0,,3,75,7.2,,,0.096270442,117,3,110.3,0.027198549,,,,,,,,
2652,967,2,1248,2172,15.4,2652,967,T,0,,208,362,15.4,,valid,0.045009557,117,NA,NA,NA,,,,,,,,
117,1224,2,456,3024,42.8,117,1224,T,0,,76,223,14.7,,X Invalid; splits in fr223; 2 splits are missed by auto; a daughter retains parent 1224 label both times,0.016195028,117,NA,NA,NA,,,,,,,,
,,,,,,1224,l291,T,0,,224,400,17.6,,,,117,,,,,,,,,,,
,,,,,,l291,l292,T,0,,401,549,14.8,,,,117,,,,,,,,,,,
,,,,,,l291,r293,T,0,,401,549,14.8,,,,117,,,,,,,,,,,
,,,,,,1224,r292,T,0,,224,414,19,,,,117,,,,,,,,,,,
,,,,,,r292,l295,T,0,,415,549,13.4,,,,117,,,,,,,,,,,
,,,,,,r292,r296,T,0,,415,549,13.4,,,,117,,,,,,,,,,,
117,2652,2,456,1248,13.2,117,2652,T,0,,76,208,13.2,,valid,0.05251115,117,NA,NA,NA,,,,,,,,
2652,2653,2,1248,1440,3.2,2652,2653,T,0,,208,386,17.8,,X Invalid; splits in fr386; randomly relabelled as '375',0.216608494,117,NA,NA,NA,,,,,,,,
,,,,,,2653,l293,T,0,,387,549,16.2,,,,117,,,,,,,,,,,
,,,,,,2653,r294,T,0,,387,549,16.2,,,,117,,,,,,,,,,,
967,1689,3,2178,3288,18.5,967,1689,T,0,,363,549,18.6,,X Persists until EOM,0.037467415,117,NA,NA,NA,,,,,,,,
967,2869,3,2178,2778,10,967,2869,T,0,,363,549,18.6,,X Persists until EOM,0.069314718,117,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,121,1,18,174,2.6,0,121,T,0,,3,29,2.6,,,0.266595069,121,7,167.3,0.041841004,,,,,,,,
2407,345,2,948,1854,15.1,2407,345,T,0,,158,285,12.7,,X Invalid; splits in fr285; auto misses split and gives label to daughter,0.045903787,121,NA,NA,NA,,,,,,,,
,,,,,,345,l306,T,0,,286,466,18,,,,121,,,,,,,,,,,
,,,,,,l306,l307,T,0,,467,549,8.2,,,,121,,,,,,,,,,,
,,,,,,l306,r308,T,0,,467,549,8.2,,,,121,,,,,,,,,,,
,,,,,,345,r307,T,0,,286,445,15.9,,,,121,,,,,,,,,,,
,,,,,,r307,l310,T,0,,446,549,10.3,,,,121,,,,,,,,,,,
,,,,,,r307,r311,T,0,,446,549,10.3,,,,121,,,,,,,,,,,
121,508,2,180,1014,13.9,121,508,T,0,,30,169,13.9,,valid,0.049866704,121,NA,NA,NA,,,,,,,,
121,2407,2,180,948,12.8,121,2407,T,0,,30,158,12.8,,valid,0.054152123,121,NA,NA,NA,,,,,,,,
2407,2408,2,948,1218,4.5,2407,2408,T,0,,158,304,14.6,,X Invalid; splits in fr304; randomly relabeled as '963',0.154032707,121,NA,NA,NA,,,,,,,,
,,,,,,2408,l311,T,0,,305,448,14.3,,,,121,,,,,,,,,,,
,,,,,,l311,l316,T,0,,449,549,10,,,,121,,,,,,,,,,,
,,,,,,l311,r317,T,0,,449,549,10,,,,121,,,,,,,,,,,
,,,,,,2408,r312,T,0,,305,471,16.6,,,,121,,,,,,,,,,,
,,,,,,r312,l319,T,0,,472,549,7.7,,,,121,,,,,,,,,,,
,,,,,,r312,r320,T,0,,472,549,7.7,,,,121,,,,,,,,,,,
508,1544,3,1020,1950,15.5,508,1544,T,0,,170,325,15.5,,valid,0.044719173,121,NA,NA,NA,,,,,,,,
508,2822,3,1020,2370,22.5,508,2822,T,0,,170,322,15.2,,X Invalid; splits in fr322;  ,0.030806541,121,NA,NA,NA,,,,,,,,
,,,,,,2822,l311,T,0,,323,549,22.6,,,,121,,,,,,,,,,,
,,,,,,2822,r312,T,1,,323,450,12.7,,X Leaves Frame,,121,,,,,,,,,,,
2530,642,4,2040,2088,0.8,2530,642,F,0,,340,348,0.8,,X illegitimate,0.866433976,121,NA,NA,NA,,,,,,,,
1544,1645,4,1956,3294,22.3,1544,1645,T,0,,326,549,22.3,,X Persists until EOM,0.031082833,121,NA,NA,NA,,,,,,,,
1544,2530,4,1956,2040,1.4,1544,2530,T,0,,326,502,17.6,,X Invalid; splits in fr502,0.495105129,121,NA,NA,NA,,,,,,,,
,,,,,,2530,l314,T,0,,503,549,4.6,,,,121,,,,,,,,,,,
,,,,,,2530,r315,T,0,,503,549,4.6,,,,121,,,,,,,,,,,
2530,2531,4,2040,3288,20.8,2530,2531,F,0,,340,548,20.8,,X illegitimate,0.033324384,121,NA,NA,NA,,,,,,,,
642,1671,5,2094,2556,7.7,642,1671,F,0,,349,426,7.7,,X illegitimate,0.090019114,121,NA,NA,NA,,,,,,,,
642,2867,5,2094,2274,3,642,2867,F,0,,349,379,3,,X illegitimate,0.23104906,121,NA,NA,NA,,,,,,,,
1671,1810,6,2562,3294,12.2,1671,1810,F,0,,427,549,12.2,,X illegitimate,0.056815343,121,NA,NA,NA,,,,,,,,
1671,2896,6,2562,3294,12.2,1671,2896,F,0,,427,549,12.2,,X illegitimate,0.056815343,121,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,122,1,18,276,4.3,0,122,T,0,,3,46,4.3,,,0.161197019,122,5,106.7,0.046860356,,,,,,,,
122,214,2,282,1122,14,122,214,T,0,,47,187,14,,valid,0.049510513,122,NA,NA,NA,,,,,,,,
2309,246,2,1110,1662,9.2,2309,246,T,0,,185,346,16.1,,X Invalid; actually splits in fr346; blobmerge with 545,0.075342085,122,NA,NA,NA,,,,,,,,
,,,,,,246,l339,T,0,,347,531,18.4,,,,122,,,,,,,,,,,
,,,,,,l339,l340,T,0,,532,549,1.7,,,,122,,,,,,,,,,,
,,,,,,l339,r341,T,0,,532,549,1.7,,,,122,,,,,,,,,,,
,,,,,,246,r340,T,0,,347,549,20.2,,,,122,,,,,,,,,,,
122,2309,2,282,1110,13.8,122,2309,T,0,,47,185,13.8,,valid,0.050228057,122,NA,NA,NA,,,,,,,,
2309,2310,2,1110,1242,2.2,2309,2310,T,0,,185,335,15,,X Invalid; actually splits in fr335; randomly relabeled as '706',0.3150669,122,NA,NA,NA,,,,,,,,
,,,,,,2310,l345,T,0,,336,549,21.3,,,,122,,,,,,,,,,,
,,,,,,2310,r346,T,0,,336,549,21.3,,,,122,,,,,,,,,,,
2516,575,3,1746,2292,9.1,2516,575,F,0,,291,382,9.1,,X illegitimate,0.07617002,122,NA,NA,NA,,,,,,,,
214,1548,3,1128,2256,18.8,214,1548,T,0,,188,376,18.8,,valid,0.036869531,122,NA,NA,NA,,,,,,,,
214,2516,3,1128,1746,10.3,214,2516,T,0,,188,336,14.8,,Invalid; actually splits in fr336,0.067295843,122,NA,NA,NA,,,,,,,,
,,,,,,2516,l350,T,0,,337,541,20.4,,,,122,,,,,,,,,,,
,,,,,,l350,l351,T,0,,542,549,0.7,,,,122,,,,,,,,,,,
,,,,,,l350,r352,T,0,,542,549,0.7,,,,122,,,,,,,,,,,
,,,,,,2516,r351,T,0,,337,526,18.9,,,,122,,,,,,,,,,,
,,,,,,r351,l354,T,0,,527,549,2.2,,,,122,,,,,,,,,,,
,,,,,,r351,r355,T,0,,527,549,2.2,,,,122,,,,,,,,,,,
2516,2517,3,1746,1764,0.3,2516,2517,F,0,,291,294,0.3,,X illegitimate,2.310490602,122,NA,NA,NA,,,,,,,,
1548,1048,4,2262,2712,7.5,1548,1048,T,0,,377,549,17.2,,X Persists until EOM,0.092419624,122,NA,NA,NA,,,,,,,,
1548,2689,4,2262,3294,17.2,1548,2689,T,0,,377,549,17.2,,X Persists until EOM,0.040299255,122,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,124,1,18,102,1.4,0,124,T,0,,3,17,1.4,,,0.495105129,124,3,113.4,0.026455026,,,,,,,,
2416,351,2,1002,1998,16.6,2416,351,T,0,,167,333,16.6,,"valid; since faint when it splits, it is subsequently lost",0.041755854,124,NA,NA,NA,,,,,,,,
,,,,,,351,l362,T,0,,334,541,20.7,,,,124,,,,,,,,,,,
,,,,,,l362,lb363,T,0,,542,549,0.7,,,,124,,,,,,,,,,,
,,,,,,l362,rt364,T,0,,542,549,0.7,,,,124,,,,,,,,,,,
,,,,,,351,r363,T,0,,334,502,16.8,,,,124,,,,,,,,,,,
,,,,,,r363,lb366,T,0,,503,549,4.6,,,,124,,,,,,,,,,,
,,,,,,r363,rt367,T,0,,503,549,4.6,,,,124,,,,,,,,,,,
124,505,2,108,864,12.6,124,505,T,0,,18,144,12.6,,valid,0.055011681,124,NA,NA,NA,,,,,,,,
124,2416,2,108,1002,14.9,124,2416,T,0,,18,167,14.9,,valid,0.046519945,124,NA,NA,NA,,,,,,,,
2416,2417,2,1002,1386,6.4,2416,2417,T,0,,167,331,16.4,,X invalid; splits at frame edge in fr331; randomly relabeled 387,0.108304247,124,NA,NA,NA,,,,,,,,
,,,,,,2417,r367,T,0,,331,534,20.3,,Faintƒ,,124,,,,,,,,,,,
,,,,,,r367,l368,T,0,,535,549,1.4,,,,124,,,,,,,,,,,
,,,,,,r367,r369,T,0,,535,549,1.4,,,,124,,,,,,,,,,,
505,1539,3,870,3294,40.4,505,1539,T,0,,145,315,17,,X Invalid; Actually splits in fr315; auto misses split; gives label to daughter,0.017157108,124,NA,NA,NA,,,,,,,,
,,,,,,1539,l375,T,0,,316,549,23.3,,,,124,,,,,,,,,,,
,,,,,,1539,r376,T,0,,316,549,23.3,,,,124,,,,,,,,,,,
505,2820,3,870,2136,21.1,505,2820,T,0,,145,312,16.7,,"X Invalid; actually splits in fr312; auto misses split, gives label to daughter",0.032850577,124,NA,NA,NA,,,,,,,,
,,,,,,2820,l378,T,1,,313,400,8.7,,X Left frame,,124,,,,,,,,,,,
,,,,,,2820,r379,T,0,,313,549,23.6,,,,124,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,127,1,18,276,4.3,0,127,T,0,,3,46,4.3,,,0.161197019,127,6,191,0.031413613,,,,,,,,
2564,711,2,1278,1350,1.2,2564,711,T,0,,213,374,16.1,,X Invalid; actually splits in fr375; randomly relabelled as 969,0.57762265,127,NA,NA,NA,,,,,,,,
,,,,,,711,l383,T,0,,375,549,17.4,,,,127,,,,,,,,,,,
,,,,,,711,r384,T,0,,375,549,17.4,,,,127,,,,,,,,,,,
127,1512,2,282,1086,13.4,127,1512,T,0,,47,181,13.4,,valid,0.051727402,127,NA,NA,NA,,,,,,,,
127,2564,2,282,1278,16.6,127,2564,T,0,,47,213,16.6,,valid,0.041755854,127,NA,NA,NA,,,,,,,,
2564,2565,2,1278,1296,0.3,2564,2565,T,0,,213,376,16.3,,X Invalid; actually splits in fr375; blobmerge with 711; relabelled as 2656,2.310490602,127,NA,NA,NA,,,,,,,,
,,,,,,2565,l388,T,0,,377,549,17.2,,,,127,,,,,,,,,,,
,,,,,,2565,r389,T,0,,377,549,17.2,,,,127,,,,,,,,,,,
711,969,3,1356,2814,24.3,711,969,F,0,,226,469,24.3,,X illegitimate,0.028524575,127,NA,NA,NA,,,,,,,,
1512,1232,3,1092,2034,15.7,1512,1232,T,0,,182,339,15.7,,valid,0.044149502,127,NA,NA,NA,,,,,,,,
2656,1663,3,2052,3294,20.7,2656,1663,F,0,,342,549,20.7,,X illegitimate,0.033485371,127,NA,NA,NA,,,,,,,,
711,2656,3,1356,2052,11.6,711,2656,F,0,,226,342,11.6,,X illegitimate,0.059754067,127,NA,NA,NA,,,,,,,,
2656,2657,3,2052,2418,6.1,2656,2657,F,0,,342,403,6.1,,X illegitimate,0.113630685,127,NA,NA,NA,,,,,,,,
1512,2745,3,1092,3294,36.7,1512,2745,T,0,,182,349,16.7,,X Corrected,0.018886844,127,NA,NA,NA,,,,,,,,
,,,,,,2745,l392,T,0,,350,547,19.7,,,,127,,,,,,,,,,,
,,,,,,l392,lb393,T,0,,548,549,0.1,,,,127,,,,,,,,,,,
,,,,,,l392,rt394,T,0,,548,549,0.1,,,,127,,,,,,,,,,,
,,,,,,2745,r393,T,0,,350,521,17.1,,,,127,,,,,,,,,,,
,,,,,,r393,lb396,T,0,,522,549,2.7,,,,127,,,,,,,,,,,
,,,,,,r393,rt397,T,0,,522,549,2.7,,,,127,,,,,,,,,,,
1232,1664,4,2040,3294,20.9,1232,1664,T,0,,340,549,20.9,,valid,0.033164937,127,NA,NA,NA,,,,,,,,
1232,2865,4,2040,3192,19.2,1232,2865,T,0,,340,532,19.2,,valid,0.036101416,127,NA,NA,NA,,,,,,,,
,,,,,,2865,l400,T,0,,533,549,1.6,,,,127,,,,,,,,,,,
,,,,,,2865,r401,T,0,,533,549,1.6,,,,127,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,128,1,18,54,0.6,0,128,T,0,,3,9,0.6,,,1.155245301,128,3,98.8,0.030364372,,,,,,,,
128,210,2,60,954,14.9,128,210,T,0,,10,159,14.9,,valid,0.046519945,128,NA,NA,NA,,,,,,,,
2305,241,2,1050,1596,9.1,2305,241,T,0,,175,322,14.7,,X Correctede,0.07617002,128,NA,NA,NA,,,,,,,,
,,,,,,241,lb410,T,0,,323,549,22.6,,,,128,,,,,,,,,,,
,,,,,,241,rt413,T,0,,323,490,16.7,,,,128,,,,,,,,,,,
,,,,,,rt413,lb414,T,0,,491,549,5.8,,,,128,,,,,,,,,,,
,,,,,,rt413,rt415,T,0,,491,549,5.8,,,,128,,,,,,,,,,,
128,2305,2,60,1050,16.5,128,2305,T,0,,10,175,16.5,,,0.04200892,128,NA,NA,NA,,,,,,,,
2305,2306,2,1050,1470,7,2305,2306,T,0,,175,345,17,,X Corrected,0.099021026,128,NA,NA,NA,,,,,,,,
,,,,,,2306,lb416,T,0,,346,549,20.3,,,,128,,,,,,,,,,,
,,,,,,2306,rt419,T,0,,346,522,17.6,,,,128,,,,,,,,,,,
,,,,,,rt419,lb420,T,0,,523,549,2.6,,,,128,,,,,,,,,,,
,,,,,,rt419,rt421,T,0,,523,549,2.6,,,,128,,,,,,,,,,,
210,1541,3,960,3294,38.9,210,1541,T,0,,160,313,15.3,,,0.017818694,128,NA,NA,NA,,,,,,,,
,,,,,,1541,l413,T,0,,314,493,17.9,,,,128,,,,,,,,,,,
,,,,,,l413,lb414,T,0,,494,549,5.5,,,,128,,,,,,,,,,,
,,,,,,l413,rt415,T,0,,494,549,5.5,,,,128,,,,,,,,,,,
,,,,,,1541,r414,T,0,,314,505,19.1,,,,128,,,,,,,,,,,
,,,,,,r414,lb417,T,0,,506,549,4.3,,,,128,,,,,,,,,,,
,,,,,,r414,rt418,T,0,,506,549,4.3,,,,128,,,,,,,,,,,
210,2821,3,960,1668,11.8,210,2821,T,0,,160,316,15.6,,X Corrected relabeled as 1598,0.058741286,128,NA,NA,NA,,,,,,,,
,,,,,,2821,1634,T,0,,317,498,18.1,,,,128,,,,,,,,,,,
,,,,,,1634,l415,T,0,,499,549,5,,,,128,,,,,,,,,,,
,,,,,,1634,r416,T,0,,499,549,5,,,,128,,,,,,,,,,,
,,,,,,2821,2858,T,0,,317,473,15.6,,,,128,,,,,,,,,,,
,,,,,,2858,l418,T,0,,474,549,7.5,,,,128,,,,,,,,,,,
,,,,,,2858,r419,T,0,,474,549,7.5,,,,128,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,129,1,18,126,1.8,0,129,T,0,,3,21,1.8,,,0.385081767,129,4,107.8,0.037105751,,,,,,,,
129,212,2,132,1356,20.4,129,212,T,0,,22,226,20.4,,,0.033977803,129,NA,NA,NA,,,,,,,,
2307,1549,2,1134,2178,17.4,2307,1549,T,0,,189,363,17.4,,,0.039836045,129,NA,NA,NA,,,,,,,,
129,2307,2,132,1134,16.7,129,2307,T,0,,22,189,16.7,,,0.041505819,129,NA,NA,NA,,,,,,,,
2307,2308,2,1134,1308,2.9,2307,2308,T,1,,189,218,2.9,,X Left frame,0.239016269,129,NA,NA,NA,,,,,,,,
212,539,3,1362,2298,15.6,212,539,T,0,,227,549,32.2,,X Sensecent?,0.044432512,129,NA,NA,NA,,,,,,,,
1549,1031,3,2184,2850,11.1,1549,1031,T,0,,364,475,11.1,,,0.062445692,129,NA,NA,NA,,,,,,,,
212,2500,3,1362,1566,3.4,212,2500,T,1,,227,400,17.3,,X Left frame,0.203866818,129,NA,NA,NA,,,,,,,,
1549,2686,3,2184,3294,18.5,1549,2686,T,0,,364,549,18.5,,,0.037467415,129,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,130,1,18,192,2.9,0,130,T,0,,3,32,2.9,,,0.239016269,130,4,110.8,0.036101083,,,,,,,,
2341,247,2,1146,1716,9.5,2341,247,T,0,,191,335,14.4,,,0.072962861,130,NA,NA,NA,,,,,,,,
,,,,,,247,l448,T,1,,336,400,6.4,,X Left frame,,130,,,,,,,,,,,
,,,,,,247,r449,T,0,,336,526,19,,At edge,,130,,,,,,,,,,,
,,,,,,r449,lb450,T,0,,527,549,2.2,,,,130,,,,,,,,,,,
,,,,,,r449,rt451,T,0,,527,549,2.2,,,,130,,,,,,,,,,,
130,677,2,198,1200,16.7,130,677,T,0,,33,200,16.7,,valid,0.041505819,130,NA,NA,NA,,,,,,,,
130,2341,2,198,1146,15.8,130,2341,T,0,,33,191,15.8,,valid,0.043870075,130,NA,NA,NA,,,,,,,,
2341,2342,2,1146,1218,1.2,2341,2342,T,0,,191,335,14.4,,X Corrected,0.57762265,130,NA,NA,NA,,,,,,,,
,,,,,,2342,l451,T,0,,336,549,21.3,,,,130,,,,,,,,,,,
,,,,,,2342,r452,T,1,,336,400,6.4,,X Left frame,,130,,,,,,,,,,,
677,1550,3,1206,2898,28.2,677,1550,T,0,,201,483,28.2,,valid,0.024579687,130,NA,NA,NA,,,,,,,,
677,2824,3,1206,2616,23.5,677,2824,T,0,,201,365,16.4,,X Corrected,0.029495625,130,NA,NA,NA,,,,,,,,
,,,,,,2824,l453,T,0,,366,549,18.3,,,,130,,,,,,,,,,,
,,,,,,2824,r454,T,0,,366,549,18.3,,,,130,,,,,,,,,,,
1550,2000,4,2904,3294,6.5,1550,2000,T,0,,484,549,6.5,,valid,0.106638028,130,NA,NA,NA,,,,,,,,
1550,2922,4,2904,3294,6.5,1550,2922,T,0,,484,549,6.5,,valid,0.106638028,130,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,135,1,18,822,13.4,0,135,T,0,,3,137,13.4,,,0.051727402,135,2,58.3,0.034305317,,,,,,,,
2336,237,2,834,1554,12,2336,237,F,0,,139,259,12,,X Illegitimate,0.057762265,135,NA,NA,NA,,,,,,,,
135,516,2,828,2172,22.4,135,516,T,0,,138,276,13.8,,X Corrected,0.030944071,135,NA,NA,NA,,,,,,,,
,,,,,,516,l467,T,0,,277,431,15.4,,,,135,,,,,,,,,,,
,,,,,,l467,lb468,T,0,,432,549,11.7,,,,135,,,,,,,,,,,
,,,,,,l467,rt469,T,0,,432,549,11.7,,,,135,,,,,,,,,,,
,,,,,,516,r468,T,0,,277,424,14.7,,,,135,,,,,,,,,,,
,,,,,,r468,lb471,T,0,,425,549,12.4,,,,135,,,,,,,,,,,
,,,,,,r468,rt472,T,0,,425,549,12.4,,,,135,,,,,,,,,,,
135,2336,2,828,834,0.1,135,2336,T,1,,138,250,11.2,,X Left frame,6.931471806,135,NA,NA,NA,,,,,,,,
2336,2337,2,834,1458,10.4,2336,2337,F,0,,139,243,10.4,,X Illegitimate,0.066648767,135,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,137,1,18,522,8.4,0,137,T,0,,3,87,8.4,,,0.082517521,137,3,108.5,0.02764977,,,,,,,,
2431,373,2,1302,1866,9.4,2431,373,T,0,,217,389,17.2,,X Corrected,0.073739062,137,NA,NA,NA,,,,,,,,
,,,,,,373,l478,T,0,,390,549,15.9,,,,137,,,,,,,,,,,
,,,,,,373,r479,T,0,,390,549,15.9,,,,137,,,,,,,,,,,
137,1225,2,528,1254,12.1,137,1225,T,0,,88,209,12.1,,valid,0.057284891,137,NA,NA,NA,,,,,,,,
137,2431,2,528,1302,12.9,137,2431,T,0,,88,217,12.9,,valid,0.05373234,137,NA,NA,NA,,,,,,,,
2431,2432,2,1302,1434,2.2,2431,2432,T,1,,217,350,13.3,,X Left frame,0.3150669,137,NA,NA,NA,,,,,,,,
1225,1556,3,1260,3294,33.9,1225,1556,T,0,,210,549,33.9,,,0.020446819,137,NA,NA,NA,,,,,,,,
1225,2825,3,1260,3036,29.6,1225,2825,T,0,,210,510,30,,valid,0.023417134,137,NA,NA,NA,,,,,,,,
,,,,,,2825,l483,T,0,,511,549,3.8,,,,137,,,,,,,,,,,
,,,,,,2825,r484,T,0,,511,549,3.8,,,,137,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,211,1,126,228,1.7,0,211,T,0,,21,38,1.7,,,0.407733636,211,3,62.3,0.048154093,,,,,,,,
211,139,2,234,1188,15.9,211,139,T,0,,39,198,15.9,,valid,0.043594162,211,NA,NA,NA,,,,,,,,
2263,526,2,1146,2178,17.2,2263,526,T,0,,191,344,15.3,,valid,0.040299255,211,NA,NA,NA,,,,,,,,
,,,,,,526,l491,T,0,,345,526,18.1,,,,211,,,,,,,,,,,
,,,,,,l491,lb492,T,0,,527,549,2.2,,,,211,,,,,,,,,,,
