Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,222,A,341,A,,,,,22.2,11.9,N,
,226,B,364,B,,,,,22.6,13.8,N,
,226,B,382,B,,,,,22.6,15.6,N,
,234,B,472,A,,,,,23.4,23.8,N,
,234,B,487,A,,,,,23.4,25.3,N,
,234,A,492,A,,,,,23.4,25.8,N,
,234,A,493,A,,,,,23.4,25.9,N,
,235,A,388,A,,,,,23.5,15.3,N,
,235,A,472,B,,,,,23.5,23.7,N,
,236,B,360,A,,,,,23.6,12.4,N,
,236,A,364,C,,,,,23.6,12.8,N,
,236,A,364,D,,,,,23.6,12.8,N,
,236,B,378,A,,,,,23.6,14.2,N,
,237,B,478,A,,,,,23.7,24.1,N,
,237,B,791,A,,,,,23.7,55.4,N,
,240,B,603,A,,,,,24,36.3,N,
,241,B,363,A,,,,,24.1,12.2,N,
,241,A,369,A,,,,,24.1,12.8,N,
,241,B,389,A,,,,,24.1,14.8,N,
,241,A,406,A,,,,,24.1,16.5,N,
,243,C,376,A,,,,,24.3,13.3,N,
,243,B,384,A,,,,,24.3,14.1,N,
,243,B,389,B,,,,,24.3,14.6,N,
,243,C,407,A,,,,,24.3,16.4,N,
,243,A,442,A,,,,,24.3,19.9,N,
,243,D,465,A,,,,,24.3,22.2,N,
,243,A,508,A,,,,,24.3,26.5,N,
,243,D,612,A,,,,,24.3,36.9,N,
,245,A,365,C,,,,,24.5,12,N,
,245,A,369,A,,,,,24.5,12.4,N,
,246,A,378,A,,,,,24.6,13.2,N,
,246,A,414,A,,,,,24.6,16.8,N,
,248,A,376,B,,,,,24.8,12.8,N,
,248,A,393,A,,,,,24.8,14.5,N,
,248,B,413,A,,,,,24.8,16.5,N,
,248,B,434,A,,,,,24.8,18.6,N,
,250,A,444,A,,,,,25,19.4,N,
,250,A,478,B,,,,,25,22.8,N,
,251,A,414,B,,,,,25.1,16.3,N,
,251,A,415,A,,,,,25.1,16.4,N,
,255,B,410,A,,,,,25.5,15.5,N,
,255,B,414,C,,,,,25.5,15.9,N,
,256,D,380,A,,,,,25.6,12.4,N,
,256,D,385,A,,,,,25.6,12.9,N,
,256,B,390,A,,,,,25.6,13.4,N,
,256,B,402,A,,,,,25.6,14.6,N,
