Birth frame,Birth ID,Split frame,Split ID,End of Movie,Left frame,Questionable,Notes,Birth time (h),Lifetime (h),EOM,dies,,,
254,A,,,Y,,,,25.4,,Y,,,,
266,C,651,A,,,,,26.6,38.5,N,,,,
266,C,,,,,Y,Division outside focal plane,26.6,,N,,,,
270,B,525,A,,,,,27,25.5,N,,,,
270,B,535,A,,,,,27,26.5,N,,,,
280,A,597,A,,,,,28,31.7,N,,,,
280,A,,,Y,,,,28,,Y,,,,
291,A,558,A,,,,,29.1,26.7,N,,,,
291,A,,,,,Y,Division outside focal plane,29.1,,N,,,,
304,A,686,A,,,,,30.4,38.2,N,,,,
304,A,,,Y,,,,30.4,,Y,,,,
315,B,684,C,,,,,31.5,36.9,N,,,,
315,B,783,A,,,,,31.5,46.8,N,,,,
334,A,592,A,,,,,33.4,25.8,N,,,,
334,A,621,A,,,,,33.4,28.7,N,,,,
336,A,,,Y,,,,33.6,,Y,,,,
336,A,,,Y,,,,33.6,,Y,,,,
359,A,627,A,,,,,35.9,26.8,N,,,,
359,A,747,A,,,,,35.9,38.8,N,,,,
406,A,707,A,,,,,40.6,30.1,N,,,,
406,A,717,A,,,,,40.6,31.1,N,,,,
419,A,,,Y,,,,41.9,,Y,,,,
419,A,,,,,,,41.9,,N,,,,
423,A,701,A,,,,,42.3,27.8,N,,,,
423,A,715,A,,,,,42.3,29.2,N,,,,
458,A,732,A,,,,,45.8,27.4,N,,,,
458,A,799,A,,,,,45.8,34.1,N,,,,
