Birth frame,Birth ID,End frame,End ID,End of Movie,Died1,FUCCI_ON_FRAME,Questionable1,Questionable2,Notes,Birthtimeh,Lifetimeh,EOM,died,G1_time,S_G2_M_time,Match
6,A,75,B,,,29,,,,1.6,17.8,FALSE,FALSE,5.9,11.9,
6,A,80,A,,,37,TRUE,TRUE,FUCCI may have come on earlier but cell was out of the focal plane,1.6,19.1,FALSE,FALSE,8,11.1,
6,B,66,A,,,25,,,,1.6,15.5,FALSE,FALSE,4.9,10.6,
6,B,75,A,,,30,,,,1.6,17.8,FALSE,FALSE,6.2,11.6,
6,C,71,A,,,33,,,,1.6,16.8,FALSE,FALSE,7,9.8,
6,C,93,A,,,41,,TRUE,End frame may possibly be 94; a small green circle is still visible in that frame,1.6,22.5,FALSE,FALSE,9,13.4,
6,D,68,A,,,32,,,,1.6,16,FALSE,FALSE,6.7,9.3,
6,D,82,A,,,47,,,,1.6,19.6,FALSE,FALSE,10.6,9,
6,E,104,A,,,59,,,,1.6,25.3,FALSE,FALSE,13.7,11.6,
6,E,125,A,,,82,,,Cell became elongated instead of round around frame 117,1.6,30.7,FALSE,FALSE,19.6,11.1,
7,A,126,A,,TRUE,27,,,Cell possibly underwent apoptosis; broke into mulitple pieces instead of two daughter cells,1.8,30.7,FALSE,TRUE,5.2,25.6,
7,A,136,A,,TRUE,41,,,Cell possibly underwent apoptosis; broke into mulitple pieces instead of two daughter cells,1.8,33.3,FALSE,TRUE,8.8,24.5,
7,B,454,,TRUE,,,,,Does nothing; doesn't divide or die,1.8,115.5,TRUE,FALSE,115.5,0,
7,B,454,,TRUE,,,,,Does nothing; doesn't divide or die,1.8,115.5,TRUE,FALSE,115.5,0,
7,C,140,A,,,92,,,,1.8,34.4,FALSE,FALSE,22,12.4,
7,C,181,A,,,128,,,,1.8,45,FALSE,FALSE,31.3,13.7,
7,D,92,A,,,44,,,,1.8,22,FALSE,FALSE,9.6,12.4,
7,D,107,A,,,61,,,,1.8,25.8,FALSE,FALSE,14,11.9,
7,E,74,A,,,34,,,,1.8,17.3,FALSE,FALSE,7,10.3,
7,E,90,A,,,40,,,,1.8,21.4,FALSE,FALSE,8.5,12.9,
7,F,109,A,,TRUE,33,TRUE,TRUE,Birth frame possibly 8. Cell appears to split into four cells instead of two.  Cell possibly undergoes apoptosis; breaks into pieces,1.8,26.4,FALSE,TRUE,6.7,19.6,
8,A,92,B,,,35,,,,2.1,21.7,FALSE,FALSE,7,14.7,
8,A,84,A,,,39,,,,2.1,19.6,FALSE,FALSE,8,11.6,
9,A,146,A,,,94,,,,2.3,35.4,FALSE,FALSE,22,13.4,
9,A,202,A,,,150,,,,2.3,49.9,FALSE,FALSE,36.4,13.4,
9,B,88,A,,,43,,,,2.3,20.4,FALSE,FALSE,8.8,11.6,
9,B,94,A,,,54,,,,2.3,22,FALSE,FALSE,11.6,10.3,
9,C,68,B,,,32,,,,2.3,15.2,FALSE,FALSE,5.9,9.3,
9,C,87,A,,,34,,,,2.3,20.2,FALSE,FALSE,6.5,13.7,
10,A,71,B,,,34,,,,2.6,15.8,FALSE,FALSE,6.2,9.6,
10,A,84,B,,,45,,,,2.6,19.1,FALSE,FALSE,9,10.1,
10,B,69,A,,,31,,,,2.6,15.2,FALSE,FALSE,5.4,9.8,
10,B,77,A,,,35,,,,2.6,17.3,FALSE,FALSE,6.5,10.9,
11,A,90,B,,,28,,,,2.8,20.4,FALSE,FALSE,4.4,16,
11,A,94,B,,,32,,TRUE,End frame possibly later; cell may have left the focal plane,2.8,21.4,FALSE,FALSE,5.4,16,
11,B,70,A,,,34,,,,2.8,15.2,FALSE,FALSE,5.9,9.3,
11,B,73,A,,,36,,,,2.8,16,FALSE,FALSE,6.5,9.6,
12,A,72,A,,,32,,,,3.1,15.5,FALSE,FALSE,5.2,10.3,
12,A,80,B,,,36,,,,3.1,17.6,FALSE,FALSE,6.2,11.4,
13,A,114,A,,,44,TRUE,TRUE,It is difficult to keep tracK of the cell since it goes out of the focal plane; cell was possibly confused with a neighboring cell,3.4,26.1,FALSE,FALSE,8,18.1,
13,A,116,A,,,53,TRUE,TRUE,It is difficult to keep tracK of the cell since it goes out of the focal plane; cell was possibly confused with a neighboring cell,3.4,26.6,FALSE,FALSE,10.3,16.3,
13,B,71,C,,,30,,,,3.4,15,FALSE,FALSE,4.4,10.6,
13,B,71,D,,,38,,,,3.4,15,FALSE,FALSE,6.5,8.5,
13,C,79,A,,,39,,,,3.4,17.1,FALSE,FALSE,6.7,10.3,
13,C,86,A,,,43,,,,3.4,18.9,FALSE,FALSE,7.8,11.1,
14,A,67,A,,,36,,,,3.6,13.7,FALSE,FALSE,5.7,8,
14,A,80,C,,,39,,,,3.6,17.1,FALSE,FALSE,6.5,10.6,
14,B,81,A,,,40,TRUE,TRUE,Cell went out of focal plane shortly after birth but reappeared quickly,3.6,17.3,FALSE,FALSE,6.7,10.6,
14,B,81,B,,,41,TRUE,TRUE,Cell went out of focal plane shortly after birth but reappeared quickly,3.6,17.3,FALSE,FALSE,7,10.3,
15,A,93,B,,,50,TRUE,TRUE,It is difficult to keep tracK of the cell since it goes out of the focal plane; cell was possibly confused with a neighboring cell,3.9,20.2,FALSE,FALSE,9,11.1,
15,A,454,,TRUE,,132,TRUE,TRUE,It is difficult to keep tracK of the cell since it goes out of the focal plane; cell was possibly confused with a neighboring cell.  Cell never divides; the FUCCI fades off and the cell is present until the end of the movie,3.9,113.4,TRUE,FALSE,30.2,83.2,
15,B,69,B,,,40,,,,3.9,14,FALSE,FALSE,6.5,7.5,
15,B,124,A,,,74,,,,3.9,28.2,FALSE,FALSE,15.2,12.9,
15,C,70,B,,,35,,,,3.9,14.2,FALSE,FALSE,5.2,9,
15,C,71,E,,,38,,,,3.9,14.5,FALSE,FALSE,5.9,8.5,
16,A,78,A,,,35,TRUE,TRUE,At one point the cells overlap and it difficult to tell which cell is which,4.1,16,FALSE,FALSE,4.9,11.1,
