Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Left frame,Questionable,Notes,Birth time (h),Lifetime (h),EOM,dies
,257,A,579,A,,,,,25.7,32.2,N,
,258,A,486,A,,,,,25.8,22.8,N,
,258,B,501,B,,,,,25.8,24.3,N,
,258,A,539,A,,,,,25.8,28.1,N,
,260,A,445,B,,,,,26,18.5,N,
,260,B,468,A,,,,,26,20.8,N,
,260,A,492,A,,,,,26,23.2,N,
,260,B,510,A,,,,,26,25,N,
,263,C,438,B,,,,,26.3,17.5,N,
,263,C,438,C,,,,,26.3,17.5,N,
,263,A,450,A,,,,,26.3,18.7,N,
,263,B,457,B,,,,,26.3,19.4,N,
,263,A,465,B,,,,,26.3,20.2,N,
,263,B,475,A,,,,,26.3,21.2,N,
,265,A,461,B,,,,,26.5,19.6,N,
,265,A,543,A,,,,,26.5,27.8,N,
,266,A,490,A,,,,,26.6,22.4,N,
,266,A,511,A,,,,,26.6,24.5,N,
,268,A,470,A,,,,,26.8,20.2,N,
,268,A,474,B,,,,,26.8,20.6,N,
,272,A,443,B,,,,,27.2,17.1,N,
,272,A,446,B,,,,,27.2,17.4,N,
,272,B,456,A,,,,,27.2,18.4,N,
,273,A,448,A,,,,,27.3,17.5,N,
,273,A,457,C,,,,,27.3,18.4,N,
,276,A,481,B,,,,,27.6,20.5,N,
,276,A,507,B,,,,,27.6,23.1,N,
,277,A,474,C,,,,,27.7,19.7,N,
,277,B,489,A,,,,,27.7,21.2,N,
,277,B,512,A,,,,,27.7,23.5,N,
,277,A,618,A,,,,,27.7,34.1,N,
,281,B,495,B,,,,,28.1,21.4,N,
,281,A,533,B,,,,,28.1,25.2,N,
,281,A,537,A,,,,,28.1,25.6,N,
,282,B,475,B,,,,,28.2,19.3,N,
,282,B,491,A,,,,,28.2,20.9,N,
,282,A,531,A,,,,,28.2,24.9,N,
,282,A,588,A,,,,,28.2,30.6,N,
,283,A,459,A,,,,,28.3,17.6,N,
,283,A,474,D,,,,,28.3,19.1,N,
,283,B,642,A,,,,,28.3,35.9,N,
,283,B,663,A,,,,,28.3,38,N,
,285,A,484,A,,,,,28.5,19.9,N,
,285,B,510,B,,,,,28.5,22.5,N,
,285,C,510,C,,,,,28.5,22.5,N,
,285,B,521,A,,,,,28.5,23.6,N,
,285,A,528,A,,,,,28.5,24.3,N,
,285,C,549,A,,,,,28.5,26.4,N,
,287,A,505,A,,,,,28.7,21.8,N,
,287,A,518,A,,,,,28.7,23.1,N,
,291,A,492,A,,,,,29.1,20.1,N,
,291,A,501,A,,,,,29.1,21,N,
,292,B,454,A,,,,,29.2,16.2,N,
,292,A,460,B,,,,,29.2,16.8,N,
,292,B,488,B,,,,,29.2,19.6,N,
,292,A,514,A,,,,,29.2,22.2,N,
,294,A,507,B,,,,,29.4,21.3,N,
,294,A,528,B,,,,,29.4,23.4,N,
,295,A,465,C,,,,,29.5,17,N,
,295,A,466,A,,,,,29.5,17.1,N,
,297,A,501,C,,,,,29.7,20.4,N,
,297,A,505,B,,,,,29.7,20.8,N,
,299,A,521,B,,,,,29.9,22.2,N,
,299,A,613,A,,,,,29.9,31.4,N,
,300,A,494,A,,,,,30,19.4,N,
,300,B,512,B,,,,,30,21.2,N,
,300,A,521,C,,,,,30,22.1,N,
,300,B,527,A,,,,,30,22.7,N,
,302,B,464,B,,,,,30.2,16.2,N,
,302,B,497,A,,,,,30.2,19.5,N,
,303,A,488,C,,,,,30.3,18.5,N,
,303,B,490,B,,,,,30.3,18.7,N,
,303,A,523,B,,,,,30.3,22,N,
,303,B,525,A,,,,,30.3,22.2,N,
,305,A,525,B,,,,,30.5,22,N,
,305,A,552,A,,,,,30.5,24.7,N,
,307,A,519,A,,,,,30.7,21.2,N,
,309,C,488,D,,,,,30.9,17.9,N,
,309,B,516,A,,,,,30.9,20.7,N,
,309,C,519,B,,,,,30.9,21,N,
,309,B,532,A,,,,,30.9,22.3,N,
,309,A,566,A,,,,,30.9,25.7,N,
,309,A,570,A,,,,,30.9,26.1,N,
,310,B,508,A,,,,,31,19.8,N,
